 0;84;1;85;0;0;0;8
 0;1;1;250;1000;5000
 0;2;2;250;1000;5000
 0;3;3;250;1000;5000
 0;4;4;250;1000;5000
 0;5;5;250;1000;5000
 0;6;6;250;1000;5000
 0;7;7;250;1000;5000
 0;8;8;250;1000;5000
  1; 1;   0;   0;Snd1; -10;  12;    1; 1025;   0;   0;   0;   1
  1; 2;   0;   0;Trg0; NaN; NaN;35192;35362; NaN; NaN;   2;   1
  2; 1;   0;   0; Sky;   0;   1;-4508;    2;  55;   1; NaN;   2
  2; 2;   0;   0;Trg0; NaN; NaN; -139;   -1; NaN; NaN;   2;   2
  2; 3;   0;   0; Sky;   1;   1;    0;  492; 255;   1; NaN;   2
  2; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   2
  3; 1;   0;   0; Sky;   0;   1;-1585;    3;  55;   1; NaN;   3
  3; 2;   0;   0;Trg0; NaN; NaN; -139;   -1; NaN; NaN;   2;   3
  3; 3;   0;   0; Sky;   1;   2;    0; 3415; 255;   1; NaN;   3
  3; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   3
  4; 1;   0;   0; Sky;   0;   1;-1536;    3;  55;   1; NaN;   4
  4; 2;   0;   0;Trg0; NaN; NaN; -171;   -1; NaN; NaN;   2;   4
  4; 3;   0;   0; Sky;   1;   3;    0; 3464; 255;   1; NaN;   4
  4; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   4
  5; 1;   0;   0; Sky;   0;   1;-1145;    3;  55;   1; NaN;   5
  5; 2;   0;   0;Trg0; NaN; NaN; -164;   -1; NaN; NaN;   2;   5
  5; 3;   0;   0; Sky;   1;   4;    0; 3855; 255;   1; NaN;   5
  5; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   5
  6; 1;   0;   0; Sky;   0;   1;-1259;    3;  55;   1; NaN;   6
  6; 2;   0;   0;Trg0; NaN; NaN; -171;   -1; NaN; NaN;   2;   6
  6; 3;   0;   0; Sky;   1;   5;    0; 3741; 255;   1; NaN;   6
  6; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   6
  7; 1;   0;   0; Sky;   0;   1;-1385;    2;  55;   1; NaN;   7
  7; 2;   0;   0;Trg0; NaN; NaN; -152;   -1; NaN; NaN;   2;   7
  7; 3;   0;   0; Sky;   1;   6;    0; 3615; 255;   1; NaN;   7
  7; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   7
  8; 1;   0;   0; Sky;   0;   1;-1189;    3;  55;   1; NaN;   8
  8; 2;   0;   0;Trg0; NaN; NaN; -139;   -1; NaN; NaN;   2;   8
  8; 3;   0;   0; Sky;   1;   7;    0; 3811; 255;   1; NaN;   8
  8; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   8
  9; 1;   0;   0; Sky;   0;   1;-1408;    2;  55;   1; NaN;   9
  9; 2;   0;   0;Trg0; NaN; NaN; -114;   -1; NaN; NaN;   2;   9
  9; 3;   0;   0; Sky;   2;   1;    0; 3592; 255;   1; NaN;   9
  9; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;   9
 10; 1;   0;   0; Sky;   0;   1;-1180;    3;  55;   1; NaN;  10
 10; 2;   0;   0;Trg0; NaN; NaN; -158;   -1; NaN; NaN;   2;  10
 10; 3;   0;   0; Sky;   2;   2;    0; 3820; 255;   1; NaN;  10
 10; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  10
 11; 1;   0;   0; Sky;   0;   1; -741;    2;  55;   1; NaN;  11
 11; 2;   0;   0;Trg0; NaN; NaN; -152;   -2; NaN; NaN;   2;  11
 11; 3;   0;   0; Sky;   2;   3;    0; 4259; 255;   1; NaN;  11
 11; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  11
 12; 1;   0;   0; Sky;   0;   1; -778;    2;  55;   1; NaN;  12
 12; 2;   0;   0;Trg0; NaN; NaN; -146;   -2; NaN; NaN;   2;  12
 12; 3;   0;   0; Sky;   2;   4;    0; 4222; 255;   1; NaN;  12
 12; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  12
 13; 1;   0;   0; Sky;   0;   1; -763;    3;  55;   1; NaN;  13
 13; 2;   0;   0;Trg0; NaN; NaN; -164;   -1; NaN; NaN;   2;  13
 13; 3;   0;   0; Sky;   2;   5;    0; 4237; 255;   1; NaN;  13
 13; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  13
 14; 1;   0;   0; Sky;   0;   1;-1027;    3;  55;   1; NaN;  14
 14; 2;   0;   0;Trg0; NaN; NaN; -164;   -1; NaN; NaN;   2;  14
 14; 3;   0;   0; Sky;   2;   6;    0; 3973; 255;   1; NaN;  14
 14; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  14
 15; 1;   0;   0; Sky;   0;   1; -715;    3;  55;   1; NaN;  15
 15; 2;   0;   0;Trg0; NaN; NaN; -165;   -1; NaN; NaN;   2;  15
 15; 3;   0;   0; Sky;   2;   7;    0; 4285; 255;   1; NaN;  15
 15; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  15
 16; 1;   0;   0; Sky;   0;   1; -823;    3;  55;   1; NaN;  16
 16; 2;   0;   0;Trg0; NaN; NaN; -152;   -1; NaN; NaN;   2;  16
 16; 3;   0;   0; Sky;   3;   1;    0; 4177; 255;   1; NaN;  16
 16; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  16
 17; 1;   0;   0; Sky;   0;   1;-2297;    2;  55;   1; NaN;  17
 17; 2;   0;   0;Trg0; NaN; NaN; -190;   -1; NaN; NaN;   2;  17
 17; 3;   0;   0; Sky;   3;   2;    0; 2703; 255;   1; NaN;  17
 17; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  17
 18; 1;   0;   0; Sky;   0;   1; -815;    3;  55;   1; NaN;  18
 18; 2;   0;   0;Trg0; NaN; NaN; -190;   -1; NaN; NaN;   2;  18
 18; 3;   0;   0; Sky;   3;   3;    0; 4185; 255;   1; NaN;  18
 18; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  18
 19; 1;   0;   0; Sky;   0;   1; -822;    3;  55;   1; NaN;  19
 19; 2;   0;   0;Trg0; NaN; NaN; -158;   -1; NaN; NaN;   2;  19
 19; 3;   0;   0; Sky;   3;   4;    0; 4178; 255;   1; NaN;  19
 19; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  19
 20; 1;   0;   0; Sky;   0;   1; -914;    3;  55;   1; NaN;  20
 20; 2;   0;   0;Trg0; NaN; NaN; -171;   -1; NaN; NaN;   2;  20
 20; 3;   0;   0; Sky;   3;   5;    0; 4085; 255;   1; NaN;  20
 20; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  20
 21; 1;   0;   0; Sky;   0;   1;-1005;    2;  55;   1; NaN;  21
 21; 2;   0;   0;Trg0; NaN; NaN; -190;   -1; NaN; NaN;   2;  21
 21; 3;   0;   0; Sky;   3;   6;    0; 3995; 255;   1; NaN;  21
 21; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  21
 22; 1;   0;   0; Sky;   0;   1; -953;    3;  55;   1; NaN;  22
 22; 2;   0;   0;Trg0; NaN; NaN; -215;   -1; NaN; NaN;   2;  22
 22; 3;   0;   0; Sky;   3;   7;    0; 4046; 255;   1; NaN;  22
 22; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  22
 23; 1;   0;   0; Sky;   0;   1;-1092;    3;  55;   1; NaN;  23
 23; 2;   0;   0;Trg0; NaN; NaN; -183;   -1; NaN; NaN;   2;  23
 23; 3;   0;   0; Sky;   4;   1;    0; 3908; 255;   1; NaN;  23
 23; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  23
 24; 1;   0;   0; Sky;   0;   1;-1161;    2;  55;   1; NaN;  24
 24; 2;   0;   0;Trg0; NaN; NaN; -196;   -1; NaN; NaN;   2;  24
 24; 3;   0;   0; Sky;   4;   2;    0; 3839; 255;   1; NaN;  24
 24; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  24
 25; 1;   0;   0; Sky;   0;   1;-1083;    3;  55;   1; NaN;  25
 25; 2;   0;   0;Trg0; NaN; NaN; -183;   -1; NaN; NaN;   2;  25
 25; 3;   0;   0; Sky;   4;   3;    0; 3917; 255;   1; NaN;  25
 25; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  25
 26; 1;   0;   0; Sky;   0;   1;-1256;    3;  55;   1; NaN;  26
 26; 2;   0;   0;Trg0; NaN; NaN; -183;   -1; NaN; NaN;   2;  26
 26; 3;   0;   0; Sky;   4;   4;    0; 3744; 255;   1; NaN;  26
 26; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  26
 27; 1;   0;   0; Sky;   0;   1;-1431;    3;  55;   1; NaN;  27
 27; 2;   0;   0;Trg0; NaN; NaN; -177;   -1; NaN; NaN;   2;  27
 27; 3;   0;   0; Sky;   4;   5;    0; 3569; 255;   1; NaN;  27
 27; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  27
 28; 1;   0;   0; Sky;   0;   1; -981;    2;  55;   1; NaN;  28
 28; 2;   0;   0;Trg0; NaN; NaN; -177;   -2; NaN; NaN;   2;  28
 28; 3;   0;   0; Sky;   4;   6;    0; 4019; 255;   1; NaN;  28
 28; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  28
 29; 1;   0;   0; Sky;   0;   1;-1098;    2;  55;   1; NaN;  29
 29; 2;   0;   0;Trg0; NaN; NaN; -183;   -1; NaN; NaN;   2;  29
 29; 3;   0;   0; Sky;   4;   7;    0; 3902; 255;   1; NaN;  29
 29; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  29
 30; 1;   0;   0; Sky;   0;   1;-1124;    3;  55;   1; NaN;  30
 30; 2;   0;   0;Trg0; NaN; NaN; -208;   -1; NaN; NaN;   2;  30
 30; 3;   0;   0; Sky;   5;   1;    0; 3876; 255;   1; NaN;  30
 30; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  30
 31; 1;   0;   0; Sky;   0;   1; -857;    3;  55;   1; NaN;  31
 31; 2;   0;   0;Trg0; NaN; NaN; -170;   -1; NaN; NaN;   2;  31
 31; 3;   0;   0; Sky;   5;   2;    0; 4143; 255;   1; NaN;  31
 31; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  31
 32; 1;   0;   0; Sky;   0;   1;-1236;    3;  55;   1; NaN;  32
 32; 2;   0;   0;Trg0; NaN; NaN; -189;   -1; NaN; NaN;   2;  32
 32; 3;   0;   0; Sky;   5;   3;    0; 3764; 255;   1; NaN;  32
 32; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  32
 33; 1;   0;   0; Sky;   0;   1; -819;    3;  55;   1; NaN;  33
 33; 2;   0;   0;Trg0; NaN; NaN; -189;   -1; NaN; NaN;   2;  33
 33; 3;   0;   0; Sky;   5;   4;    0; 4181; 255;   1; NaN;  33
 33; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  33
 34; 1;   0;   0; Sky;   0;   1;-1483;    3;  55;   1; NaN;  34
 34; 2;   0;   0;Trg0; NaN; NaN; -189;   -1; NaN; NaN;   2;  34
 34; 3;   0;   0; Sky;   5;   5;    0; 3517; 255;   1; NaN;  34
 34; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  34
 35; 1;   0;   0; Sky;   0;   1; -822;    3;  55;   1; NaN;  35
 35; 2;   0;   0;Trg0; NaN; NaN; -177;   -1; NaN; NaN;   2;  35
 35; 3;   0;   0; Sky;   5;   6;    0; 4178; 255;   1; NaN;  35
 35; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  35
 36; 1;   0;   0; Sky;   0;   1; -928;    3;  55;   1; NaN;  36
 36; 2;   0;   0;Trg0; NaN; NaN; -190;   -1; NaN; NaN;   2;  36
 36; 3;   0;   0; Sky;   5;   7;    0; 4072; 255;   1; NaN;  36
 36; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  36
 37; 1;   0;   0; Sky;   0;   1;-1191;    3;  55;   1; NaN;  37
 37; 2;   0;   0;Trg0; NaN; NaN; -171;   -1; NaN; NaN;   2;  37
 37; 3;   0;   0; Sky;   6;   1;    0; 3809; 255;   1; NaN;  37
 37; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  37
 38; 1;   0;   0; Sky;   0;   1;-1180;    2;  55;   1; NaN;  38
 38; 2;   0;   0;Trg0; NaN; NaN; -190;   -1; NaN; NaN;   2;  38
 38; 3;   0;   0; Sky;   6;   2;    0; 3820; 255;   1; NaN;  38
 38; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  38
 39; 1;   0;   0; Sky;   0;   1; -649;    3;  55;   1; NaN;  39
 39; 2;   0;   0;Trg0; NaN; NaN; -177;   -1; NaN; NaN;   2;  39
 39; 3;   0;   0; Sky;   6;   3;    0; 4351; 255;   1; NaN;  39
 39; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  39
 40; 1;   0;   0; Sky;   0;   1;-1513;    3;  55;   1; NaN;  40
 40; 2;   0;   0;Trg0; NaN; NaN; -171;   -1; NaN; NaN;   2;  40
 40; 3;   0;   0; Sky;   6;   4;    0; 3487; 255;   1; NaN;  40
 40; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  40
 41; 1;   0;   0; Sky;   0;   1; -977;    3;  55;   1; NaN;  41
 41; 2;   0;   0;Trg0; NaN; NaN; -152;   -1; NaN; NaN;   2;  41
 41; 3;   0;   0; Sky;   6;   5;    0; 4023; 255;   1; NaN;  41
 41; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  41
 42; 1;   0;   0; Sky;   0;   1;-1224;    3;  55;   1; NaN;  42
 42; 2;   0;   0;Trg0; NaN; NaN; -183;   -1; NaN; NaN;   2;  42
 42; 3;   0;   0; Sky;   6;   6;    0; 3776; 255;   1; NaN;  42
 42; 4;   0;   0; Acq; NaN; NaN;    0;40000; NaN; NaN;1017;  42
 43; 1;   0;   0; Sky;   0;   1;-1083;    3;  55;   1; NaN;  43
